postId;postHistoryId;localId;blockTypeId;possiblePredOrSuccLocalIds;numberOfPossibleSuccessorsOrPredecessors
30210507;90368715;16;1;[9, 16];2
30210507;90375614;6;2;[2, 6];2
30210507;90375614;9;1;[9, 16];2
30210507;90375614;16;1;[9, 16];2
30210507;90375614;8;2;[8, 10];2
30210507;90375614;9;1;[9, 18];2
30210507;90375614;10;2;[8, 10];2
30210507;90375614;16;1;[9, 18];2
30210507;90378119;8;2;[8, 10];2
30210507;90378119;9;1;[9, 16];2
30210507;90378119;10;2;[8, 10];2
30210507;90378119;18;1;[9, 16];2
30210507;90378119;8;2;[8, 10];2
30210507;90378119;9;1;[9, 18];2
30210507;90378119;10;2;[8, 10];2
30210507;90378119;18;1;[9, 18];2
30210507;147591645;8;2;[8, 10];2
30210507;147591645;9;1;[9, 18];2
30210507;147591645;10;2;[8, 10];2
30210507;147591645;18;1;[9, 18];2
33173454;101983648;3;1;[3, 7, 11, 15, 19];5
33173454;101983648;5;1;[5, 9, 13, 17];4
33173454;101983648;7;1;[3, 7, 11, 15, 19];5
33173454;101983648;9;1;[5, 9, 13, 17];4
33173454;101983648;11;1;[3, 7, 11, 15, 19];5
33173454;101983648;13;1;[5, 9, 13, 17];4
33173454;101983648;15;1;[3, 7, 11, 15, 19];5
33173454;101987394;3;1;[3, 7, 11, 15];4
33173454;101987394;5;1;[5, 9, 13];3
33173454;101987394;7;1;[3, 7, 11, 15];4
33173454;101987394;9;1;[5, 9, 13];3
33173454;101987394;11;1;[3, 7, 11, 15];4
33173454;101987394;13;1;[5, 9, 13];3
33173454;101987394;15;1;[3, 7, 11, 15];4
33173454;101987394;17;1;[5, 9, 13];3
33173454;101987394;19;1;[3, 7, 11, 15];4
33173454;101987394;3;1;[3, 7, 11, 15, 19];5
33173454;101987394;5;1;[5, 9, 13, 17];4
33173454;101987394;7;1;[3, 7, 11, 15, 19];5
33173454;101987394;9;1;[5, 9, 13, 17];4
33173454;101987394;11;1;[3, 7, 11, 15, 19];5
33173454;101987394;13;1;[5, 9, 13, 17];4
33173454;101987394;15;1;[3, 7, 11, 15, 19];5
33173454;101987394;17;1;[5, 9, 13, 17];4
33173454;101987394;19;1;[3, 7, 11, 15, 19];5
33173454;102132500;3;1;[3, 7, 11, 15, 19];5
33173454;102132500;5;1;[5, 9, 13, 17];4
33173454;102132500;7;1;[3, 7, 11, 15, 19];5
33173454;102132500;9;1;[5, 9, 13, 17];4
33173454;102132500;11;1;[3, 7, 11, 15, 19];5
33173454;102132500;13;1;[5, 9, 13, 17];4
33173454;102132500;15;1;[3, 7, 11, 15, 19];5
33173454;102132500;17;1;[5, 9, 13, 17];4
33173454;102132500;19;1;[3, 7, 11, 15, 19];5
33901642;104886080;5;1;[5, 7];2
34233928;106206587;2;2;[2, 10];2
36558541;115449098;14;2;[14, 18];2
36558541;115449098;18;2;[14, 18];2
36558541;133011693;14;2;[14, 18];2
36558541;133011693;18;2;[14, 18];2
37716999;120015867;5;1;[5, 21];2
37716999;120015867;11;1;[11, 19];2
38130028;121657901;5;1;[5, 9];2
38130028;121657901;9;1;[5, 9];2
38130028;121658322;5;1;[5, 9];2
38130028;121658322;9;1;[5, 9];2
39714070;127977008;2;2;[2, 14];2
39714070;128050671;2;2;[2, 14];2
39714070;128050671;14;2;[2, 14];2
39714070;128118004;2;2;[2, 14];2
39714070;128118004;14;2;[2, 14];2
40572244;131441902;2;2;[2, 3];2
40572244;131442480;2;2;[2, 3];2
40633431;131695089;2;2;[2, 6];2
40633431;131695089;3;1;[3, 9];2
40633431;131695089;6;2;[2, 6];2
40633431;131695817;2;2;[2, 6];2
40633431;131695817;6;2;[2, 6];2
40633431;131695817;2;2;[2, 6];2
40633431;131695817;3;1;[3, 9];2
40633431;131695817;6;2;[2, 6];2
40633431;131695817;8;2;[8, 12];2
40633431;131695817;9;1;[3, 9];2
40633431;131695817;12;2;[8, 12];2
40633431;131696411;2;2;[2, 6];2
40633431;131696411;3;1;[3, 9];2
40633431;131696411;6;2;[2, 6];2
40633431;131696411;8;2;[8, 12];2
40633431;131696411;9;1;[3, 9];2
40633431;131696411;12;2;[8, 12];2
40753773;132196971;2;2;[2, 7];2
40753773;132196971;3;2;[3, 6, 8];3
40771357;132268192;11;1;[11, 13];2
40771357;132268192;13;1;[11, 13];2
40771357;132269196;11;1;[11, 13];2
40771357;132269196;13;1;[11, 13];2
41097877;133648695;3;1;[3, 7];2
41097877;133648695;7;1;[3, 7];2
41097877;133650492;3;1;[3, 7];2
41097877;133650492;7;1;[3, 7];2
