Sample;Metric;Threshold;PostId;PostHistoryId;RuntimeText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;RuntimeCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;60329723;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;69262919;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramJaccardNormalized;0.3;22037280;147248795;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;58996741;4;0;0;0;0;0;0;0;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;58997388;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;59004094;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;59078493;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;60329723;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;69262919;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDice;0.3;22037280;147248795;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;58996741;5;0;0;0;0;0;0;0;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;58997388;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;59004094;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;59078493;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;60329723;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;69262919;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDice;0.3;22037280;147248795;5;3;6;0;0;0;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;58996741;4;0;0;0;0;1;0;0;0;0
TestManager;winnowingFourGramDice;0.3;22037280;58997388;4;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;59004094;4;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;59078493;4;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;60329723;4;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;69262919;4;3;6;0;0;1;2;2;0;0
TestManager;winnowingFourGramDice;0.3;22037280;147248795;4;3;6;0;0;1;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;58996741;4;0;0;0;0;0;0;0;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;58997388;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;59004094;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;59078493;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;60329723;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;69262919;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingFiveGramDice;0.3;22037280;147248795;4;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;58996741;6;0;0;0;0;0;0;0;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;58997388;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;59004094;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;59078493;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;60329723;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;69262919;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingTwoGramDiceNormalized;0.3;22037280;147248795;6;3;6;0;0;0;2;2;0;0
TestManager;winnowingThreeGramDiceNormalized;0.3;22037280;58996741;6;0;0;0;0;3;0;0;0;0
TestManager;winnowingThreeGramDiceNormalized;0.3;22037280;58997388;6;3;6;0;0;3;2;2;0;0
TestManager;winnowingThreeGramDiceNormalized;0.3;22037280;59004094;6;3;6;0;0;3;2;2;0;0
TestManager;winnowingThreeGramDiceNormalized;0.3;22037280;59078493;6;3;6;0;0;3;2;2;0;0
TestManager;winnowingThreeGramDiceNormalized;0.3;22037280;60329723;6;3;6;0;0;3;2;2;0;0
